epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
80,132.711,0.66281,0.64041,0.00476,0.98631,1,0.995,0.80471,0.82386,0.82546,0.00896,0.000311379,0.000311379,0.000311379
81,134.367,0.63224,0.62248,0.00459,0.98599,1,0.995,0.80129,0.80725,0.81081,0.00875,0.000297232,0.000297232,0.000297232
82,136.012,0.64435,0.63971,0.00463,0.98472,1,0.995,0.81129,0.79622,0.80301,0.0086,0.000283085,0.000283085,0.000283085
83,137.612,0.62333,0.59713,0.00473,0.98458,1,0.995,0.80863,0.79108,0.80524,0.0086,0.000268938,0.000268938,0.000268938
84,139.205,0.62141,0.63475,0.00474,0.98494,1,0.995,0.81129,0.81156,0.81381,0.00877,0.000254791,0.000254791,0.000254791
85,140.808,0.66223,0.63924,0.0049,0.9853,1,0.995,0.79967,0.83214,0.81782,0.00899,0.000240644,0.000240644,0.000240644
86,142.436,0.60624,0.57618,0.00466,0.9834,1,0.995,0.79967,0.84169,0.81953,0.0092,0.000226497,0.000226497,0.000226497
87,144.057,0.63618,0.5779,0.00492,0.98415,1,0.995,0.81129,0.83531,0.81677,0.00899,0.000212349,0.000212349,0.000212349
88,145.668,0.58061,0.57347,0.00433,0.9844,1,0.995,0.81129,0.81962,0.80037,0.00901,0.000198202,0.000198202,0.000198202
89,147.26,0.60366,0.60224,0.00439,0.98401,1,0.995,0.81129,0.8118,0.79675,0.00896,0.000184055,0.000184055,0.000184055
90,148.866,0.58275,0.61274,0.00445,0.98333,1,0.995,0.80729,0.80743,0.79148,0.00882,0.000169908,0.000169908,0.000169908
91,160.673,0.52061,0.61664,0.00552,0.98502,1,0.995,0.80729,0.80715,0.81208,0.00885,0.000155761,0.000155761,0.000155761
92,162.305,0.49585,0.57517,0.00514,0.98638,1,0.995,0.80129,0.83563,0.82862,0.00918,0.000141614,0.000141614,0.000141614
93,163.903,0.52056,0.64353,0.00632,0.98636,1,0.995,0.80129,0.84871,0.84126,0.00939,0.000127467,0.000127467,0.000127467
94,165.492,0.51079,0.61133,0.00555,0.98577,1,0.995,0.80129,0.85661,0.85167,0.00952,0.00011332,0.00011332,0.00011332
95,167.076,0.5029,0.60491,0.00511,0.98598,1,0.995,0.80774,0.85223,0.86149,0.00943,9.91726e-05,9.91726e-05,9.91726e-05
96,168.63,0.48685,0.60313,0.00532,0.98495,1,0.995,0.80774,0.85058,0.87409,0.0094,8.50255e-05,8.50255e-05,8.50255e-05
97,170.175,0.51788,0.6182,0.00563,0.98358,1,0.995,0.80774,0.84454,0.87844,0.00929,7.08784e-05,7.08784e-05,7.08784e-05
98,171.748,0.49661,0.59971,0.00553,0.98358,1,0.995,0.80774,0.81176,0.89296,0.00905,5.67313e-05,5.67313e-05,5.67313e-05
99,173.317,0.46634,0.57953,0.00496,0.98222,1,0.995,0.80774,0.79848,0.88741,0.00888,4.25842e-05,4.25842e-05,4.25842e-05
100,174.885,0.4643,0.60129,0.00508,0.98231,1,0.995,0.80774,0.79147,0.87361,0.00877,2.84371e-05,2.84371e-05,2.84371e-05
